index,sample_number,route_id,ping_number,timestamp,dist_traveled,dist_to_line
0,1,60-25-b12-1,62,2017-07-03 11:24:24,6674.165638430514,200.36971469362715
1,1,60-25-b12-1,63,2017-07-03 11:24:33,6915.625065948672,320.98712911744286
0,1,60-25-b12-1,64,2017-07-03 11:25:17,7546.230080098313,91.42752366475965
1,1,60-25-b12-1,65,2017-07-03 11:25:31,7967.714340241223,31.24511625767839
0,1,60-25-b12-1,66,2017-07-03 11:26:27,8801.146669245773,12.72221784505835
1,1,60-25-b12-1,67,2017-07-03 11:26:53,8903.506304454904,0.7713390615886866
0,1,60-25-b12-1,68,2017-07-03 11:27:12,9150.100825971222,8.680705223121652
1,1,60-25-b12-1,69,2017-07-03 11:27:26,9314.241932439341,7.926697845163772
2,1,60-25-b12-1,70,2017-07-03 11:27:53,9314.241932439341,7.926697845163772
0,1,60-25-b12-1,71,2017-07-03 11:28:11,9483.60106672285,60.84165227189796
1,1,60-25-b12-1,72,2017-07-03 11:28:26,9805.25881509941,160.55710239721256
2,1,60-25-b12-1,73,2017-07-03 11:28:51,10112.033420236994,81.2890721294394
0,1,60-25-b12-1,74,2017-07-03 11:29:11,10431.927855821841,76.80644252302926
1,1,60-25-b12-1,75,2017-07-03 11:29:26,10640.99449654666,22.02775121595949
2,1,60-25-b12-1,76,2017-07-03 11:29:53,10688.553277207882,9.338685175266402
0,1,60-25-b12-1,77,2017-07-03 11:30:11,10938.573764329361,33.34793604696609
1,1,60-25-b12-1,78,2017-07-03 11:30:26,11184.723229356134,3.3236350460150903
2,1,60-25-b12-1,79,2017-07-03 11:30:56,11272.0688341271,6.591951585412824
0,1,60-25-b12-1,80,2017-07-03 11:31:18,11565.258600461075,9.175668790858712
1,1,60-25-b12-1,81,2017-07-03 11:31:26,11909.3259182766,11.398135314288908
0,1,60-25-b12-1,82,2017-07-03 11:32:01,12536.306185745636,60.98337735001954
1,1,60-25-b12-1,83,2017-07-03 11:32:25,12834.603366866138,12.878986937632064
2,1,60-25-b12-1,84,2017-07-03 11:32:40,12854.399133615349,114.92520137180064
0,1,60-25-b12-1,85,2017-07-03 11:34:01,12858.99231151167,726.9300910978989
1,1,60-25-b12-1,86,2017-07-03 11:34:21,12858.99231151167,735.7578737922418
2,1,60-25-b12-1,87,2017-07-03 11:34:41,12858.99231151167,838.4434727285902
0,1,60-25-b12-1,88,2017-07-03 11:35:01,12858.99231151167,1084.7565729365106
1,1,60-25-b12-1,89,2017-07-03 11:35:23,12858.99231151167,1099.1995242323546
2,1,60-25-b12-1,90,2017-07-03 11:35:42,12858.99231151167,1144.2107821970337
0,1,60-25-b12-1,91,2017-07-03 11:36:04,12858.99231151167,1199.6803833723154
1,1,60-25-b12-1,92,2017-07-03 11:36:28,12858.99231151167,1269.6898428161214
2,1,60-25-b12-1,93,2017-07-03 11:36:41,12858.99231151167,1344.7449312445888
0,1,60-25-b12-1,94,2017-07-03 11:37:03,12858.99231151167,1489.7933197810096
1,1,60-25-b12-1,95,2017-07-03 11:37:22,12858.99231151167,1568.4252878545724
2,1,60-25-b12-1,96,2017-07-03 11:37:43,12858.99231151167,1595.4334887015664
0,1,60-25-b12-1,97,2017-07-03 11:38:00,12858.99231151167,1576.5761330615953
1,1,60-25-b12-1,98,2017-07-03 11:38:21,12858.99231151167,1597.2316798529707
2,1,60-25-b12-1,99,2017-07-03 11:38:42,12858.99231151167,1712.6869356791572
0,1,60-25-b12-1,100,2017-07-03 11:39:10,12858.99231151167,1856.8894694622231
1,1,60-25-b12-1,101,2017-07-03 11:39:39,12858.99231151167,2000.4218710153577
0,1,60-25-b12-1,102,2017-07-03 11:40:01,12858.99231151167,1960.6895461189079
1,1,60-25-b12-1,103,2017-07-03 11:40:22,12858.99231151167,1961.1890323607802
2,1,60-25-b12-1,104,2017-07-03 11:40:46,12858.99231151167,2083.8795158231164
