route_id,route_short_name,direction_id,stop_sequence,stop_id,stop_lat,stop_lon,dist_traveled,stop_point
60-1-b12-1,1,0,1,8240DB000226,53.39114056,-6.262200464,0.0,POINT (715588.0000358828 739293.9995335338)
60-1-b12-1,1,0,2,8240DB000228,53.39184365,-6.25987131,268.17629659763696,POINT (715740.9999836229 739375.9997012733)
60-1-b12-1,1,0,3,8240DB000229,53.39139952,-6.256536433,484.896848811109,POINT (715963.9999663082 739332.0004584444)
60-1-b12-1,1,0,4,8240DB000227,53.39114381,-6.251344506000001,836.967238832401,POINT (716309.9999671782 739312.000176253)
60-1-b12-1,1,0,5,8240DB000230,53.38988802,-6.249065507999999,1066.43334315604,POINT (716464.9999995211 739175.9996639034)
60-1-b12-1,1,0,6,8240DB000231,53.38924008,-6.245949764,1359.0874961771901,POINT (716673.9999789023 739109.0003348662)
60-1-b12-1,1,0,7,8220DB001641,53.38652728,-6.242392966000001,1827.9777895128898,POINT (716918.0000426122 738812.9995071178)
60-1-b12-1,1,0,8,8220DB001642,53.38400179,-6.243624504,2121.75171678418,POINT (716842.9999591766 738530.0005324116)
60-1-b12-1,1,0,9,8220DB000213,53.38153105,-6.244913767999999,2417.52181051004,POINT (716764.0000110979 738252.9999259552)
60-1-b12-1,1,0,10,8220DB000214,53.37940848,-6.246654552000001,2672.2608020156304,POINT (716653.9999981654 738013.9996019021)
60-1-b12-1,1,0,11,8220DB004432,53.37720747,-6.248563719,2948.30139079216,POINT (716532.9999891866 737766.000012034)
60-1-b12-1,1,0,12,8220DB000119,53.37519048,-6.250765745,3217.52082968943,POINT (716392.0000207614 737537.999919681)
60-1-b12-1,1,0,13,8220DB000044,53.37301741,-6.252132303,3477.18853836654,POINT (716307.0000137726 737294.0000979772)
60-1-b12-1,1,0,14,8220DB07603,53.37157673,-6.253183204,3651.58177218024,POINT (716240.9999801887 737132.0005055969)
60-1-b12-1,1,0,15,8220DB000045,53.36999011,-6.254089717,3845.7466505697203,POINT (716185.0000139301 736953.9998928657)
60-1-b12-1,1,0,16,8220DB000046,53.36715074,-6.2553779689999995,4172.670439448039,POINT (716107.0000017525 736636.0001995279)
60-1-b12-1,1,0,17,8220DB000047,53.36391612,-6.257298257,4552.66682169045,POINT (715987.9999658568 736273.000111028)
60-1-b12-1,1,0,18,8220DB000048,53.36232903,-6.258790465,4763.19405424924,POINT (715893.0000253398 736093.9996662576)
60-1-b12-1,1,0,19,8220DB000049,53.36003184,-6.260897458,5049.98804625041,POINT (715759.0000398129 735834.9996978106)
