longitude,latitude,lineId,timestamp,journeyPatternId,vehicleId,point
-6.260076000000001,53.34433000000001,150,2017-07-03 10:58:00,01500001,33495,POINT (715856.2501341886 734089.3744858039)
-6.444412000000001,53.345241,25,2017-07-03 10:58:00,025A1002,33399,POINT (703580.5835347571 733907.4892600841)
-6.425308,53.35819300000001,25,2017-07-03 10:58:00,00250002,38056,POINT (704820.769871098 735376.4211113964)
-6.28437,53.329802,150,2017-07-03 10:58:00,01501001,33493,POINT (714277.5618045953 732433.8713189228)
-6.265912,53.345594999999996,25,2017-07-03 10:58:00,025A0002,33352,POINT (715464.2643976479 734220.6627427057)
-6.373641,53.355279,25,2017-07-03 10:58:00,025B0002,33401,POINT (708267.1546972033 735129.3114061145)
-6.25655,53.348017000000006,25,2017-07-03 10:58:00,025B1002,33364,POINT (716080.9979747075 734505.3095309049)
-6.421926999999999,53.355303,25,2017-07-03 10:58:00,025B1002,33358,POINT (705052.9204984539 735059.8466097707)
-6.433528,53.346437,25,2017-07-03 10:58:00,025A0002,33406,POINT (704302.3359953316 734056.4005151098)
-6.3170660000000005,53.315913,150,2017-07-03 10:58:00,01500001,33518,POINT (712136.2856894102 730836.7819816293)
-6.261702,53.344269999999995,150,2017-07-03 10:58:00,01500001,33495,POINT (715748.1517877284 734080.0619860152)
-6.443576999999999,53.346229,25,2017-07-03 10:58:00,025A1002,33399,POINT (703633.7828349393 734018.6266554564)
-6.42577,53.359368,25,2017-07-03 10:58:00,00250002,38056,POINT (704787.1358144827 735506.474492738)
-6.25711,53.346501,150,2017-07-03 10:58:00,01500001,33475,POINT (716047.8332820319 734335.7321090657)
-6.28419,53.330241,150,2017-07-03 10:58:00,01501001,33493,POINT (714288.376987527 732483.0016912258)
-6.266204,53.345551,25,2017-07-03 10:58:00,025A0002,33352,POINT (715444.9421548229 734215.2952387651)
-6.319542,53.342943999999996,25,2017-07-03 10:58:00,025A1002,33356,POINT (711900.55046381 733840.3329171613)
-6.256533,53.348017000000006,25,2017-07-03 10:58:00,025B1002,33364,POINT (716082.1297549828 734505.3371690831)
-6.377889,53.356322,25,2017-07-03 10:58:00,025B0002,33401,POINT (707981.7491744971 735238.9223415583)
-6.422551,53.355968000000004,25,2017-07-03 10:58:00,025B1002,33358,POINT (705009.7487595106 735132.9170882907)
-6.4358580000000005,53.347606999999996,25,2017-07-03 10:58:00,025A0002,33406,POINT (704144.3540585317 734183.1748190173)
-6.3170660000000005,53.315913,150,2017-07-03 10:58:00,01500001,33518,POINT (712136.2856894102 730836.7819816293)
-6.443023,53.346996,25,2017-07-03 10:58:00,025A1002,33399,POINT (703668.8072029829 734104.7680108736)
-6.261702,53.344269999999995,150,2017-07-03 10:58:00,01500001,33495,POINT (715748.1517877284 734080.0619860152)
-6.429623,53.359664,25,2017-07-03 10:58:00,00250002,38056,POINT (704529.9585012919 735533.7594383059)
